title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords
Carrie,Brian De Palma,1976,United States,93,76%,https://resizing.flixster.com/h-2W155UIOx5iMnWfSgCnEVfsus=/206x305/v1.bTsxMTIwODYwMztqOzE3MzY0OzEyMDA7ODA3OzEwNzY,https://rottentomatoes.com/m/1003625-carrie,,
Death Machines,Paul Kyriazi,1976,United States,,9%,https://resizing.flixster.com/sZzk911juqwXu63g4MAVY6ffslQ=/206x305/v1.bTsxMTU0NzY1MjtqOzE3MzY4OzEyMDA7NTgwOzg2NA,https://rottentomatoes.com/m/death_machines,3.6,
Dr. Black and Mr. White,William Crain,1976,United States,,,,,5.2,vampire::monster
Eaten Alive,Tobe Hooper,1976,United States,,,,,,
God Told Me To,Larry Cohen,1976,United States,78,52%,https://resizing.flixster.com/QuvoxvFZXGMAE8qVXzNMh7CRNLI=/206x305/v1.bTsxMTYxODE1NztqOzE3MzY5OzEyMDA7NzY1OzEwMjA,https://rottentomatoes.com/m/god_told_me_to,6.3,satanism::demon::alien::possession
Grizzly,William Girdler,1976,United States,60,30%,https://resizing.flixster.com/PDKNn7dc8Hvx2zbhxU0EbsS-poA=/206x305/v1.bTsxMTYxNDM0ODtqOzE3MzY5OzEyMDA7NzYyOzEwMTY,https://rottentomatoes.com/m/1008968-grizzly,,
The House with Laughing Windows,Pupi Avati,1976,Italy,,71%,https://resizing.flixster.com/wPxsyBr-mEF2s5i7VZ1NCOMtuuU=/206x305/v1.bTsxMTgwNDE2MjtqOzE3MjgxOzEyMDA7MTI5OTsxNzMy,https://rottentomatoes.com/m/the_house_with_laughing_windows,7.1,gore
Inquisition,Jacinto Molina,1976,Spain,,,,,,
J. D.'s Revenge,Arthur Marks,1976,United States,,,,,,
Jack the Ripper,Jesus Franco,1976,Switzerland & West Germany,,10%,https://resizing.flixster.com/zXWudRCkl2PAeuw9vtZG01NJzQc=/206x305/v1.bTsxMTE4NzMxMTtqOzE3MzY0OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/jack_the_ripper_1976,,
Land of the Minotaur,Kostas Karagiannis,1976,Greece & United Kingdom & United States,,3%,https://resizing.flixster.com/gd_9ZJlwIxt4KjLUgJfk7dRN3Ww=/206x305/v1.bTsxMjM2Mjk3MDtqOzE3Mjg4OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/land_of_the_minotaur,4.3,satanism::demon::possession
The Legend of the Wolf Woman,Rino Di Silvestro,1976,Italy,,20%,https://resizing.flixster.com/wls0dXYCZasQ62jiKmPzd4bJR_o=/206x305/v1.bTsxMTYxNTc2NjtqOzE3MzY5OzEyMDA7MzA4OzQ3NQ,https://rottentomatoes.com/m/the_legend_of_the_wolf_woman,5.1,werewolf::gore::monster
Mansion of the Doomed,Michael Pataki,1976,United States,,27%,https://resizing.flixster.com/qbZWo72TZ4XQsA9aycbsfJGDrtk=/206x305/v1.bTsxMDg4MDQwNDtqOzE3MzYwOzEyMDA7MTA2NzsxNjAw,https://rottentomatoes.com/m/mansion_of_the_doomed,5.7,gore
The Omen,Richard Donner,1976,United States,86,80%,https://resizing.flixster.com/MxKeH1MooUglmDqez5Yvq-DiBdo=/206x305/v1.bTsxMTI5MTIyMDtqOzE3MzY1OzEyMDA7MTMyNjsxNzY4,https://rottentomatoes.com/m/1015517-omen,7.6,graveyard::devil::demon::gore::exorcism::possession
The Rat Savior,Krsto Papic,1976,Socialist Federal Republic of Yugoslavia,,,,,7.1,based on novel
Rattlers,John McCauley,1976,United States,,3%,https://resizing.flixster.com/TeB5pxiknfuSG-IVU0fyMXtMeXY=/206x305/v1.bTsxMTIyNzk3MjtqOzE3MzY0OzEyMDA7MTUwNTsyMDA3,https://rottentomatoes.com/m/rattlers_1976,4.2,snake
Savage Weekend,David Paulsen,1976,United States,,20%,https://resizing.flixster.com/FW1BgEZP7KA8wBoT4OSj5qj625Q=/206x305/v1.bTsxMTIyOTkzMjtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/savage_weekend,,
Snuff,Michael Findlay,1976,Argentina & Canada & United States,,27%,https://resizing.flixster.com/OF-M9B-I_AHZH6Z3r-1ItN5l3hY=/206x305/v1.bTsxMjE4NjU5OTtqOzE3Mjg2OzEyMDA7OTE7MTM5,https://rottentomatoes.com/m/snuff,,
Squirm,Jeff Lieberman,1976,United States,36,25%,https://resizing.flixster.com/iBFVysejuJ8PW56RDlP_lK-1E-0=/206x305/v1.bTsxMTYxNTIwMDtqOzE3MzY5OzEyMDA7NjA2OzEwODU,https://rottentomatoes.com/m/squirm,4.5,
