id,title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords,image
732,Lost Souls,Mou Tun-fe,1980,Hong Kong,,33,https://resizing.flixster.com/Ga1pDq9CFdyFiV0SyLyk6GM2HyM=/206x305/v1.bTsxMTA2MTU5MjtqOzE3MzYzOzEyMDA7MTQ0OzIwNQ,https://rottentomatoes.com/m/lost_souls_1980,,,/content/images/lost_souls1980.png
733,Macabre,Lamberto Bava,1980,Italy,,40,https://resizing.flixster.com/q6HaMD3HyRSkAEucOxxA73ToJ2I=/206x305/v1.bTsxMjM1ODM4ODtqOzE3Mjg4OzEyMDA7MjE1OzQwMA,https://rottentomatoes.com/m/macabre,,,/content/images/macabre1980.png
734,Mama Dracula,Boris Szulzinger,1980,Belgium,,11,https://resizing.flixster.com/086q5xURbYfLS1beQ1TUoETbcjc=/206x305/v1.bTsxMTU0NDY5MTtqOzE3MzY4OzEyMDA7NDIwOzc1Mw,https://rottentomatoes.com/m/mama_dracula,2.7,vampire,/content/images/mama_dracula1980.png
735,Maniac,William Lustig,1980,United States,43,58,https://resizing.flixster.com/KPck0-03NtU28LQxM8cBmzqJttw=/206x305/v1.bTsxMTIwNTM5NDtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/maniac_1980,,,/content/images/maniac1980.png
736,The Monster Club,Roy Ward Baker,1980,United Kingdom,71,39,https://resizing.flixster.com/Qnbthxu5BHnGxYzOCqyuU38GF18=/206x305/v1.bTsxMDg2MDM5MDtqOzE3MzYwOzEyMDA7MTEwOzE1MA,https://rottentomatoes.com/m/the_monster_club,,,/content/images/the_monster_club1980.png
737,Motel Hell,Kevin Connor,1980,United States,70,49,https://resizing.flixster.com/5FAEawKQti75RDHqBzBWDV3KMmI=/206x305/v1.bTsxMDg5NTQ5OTtqOzE3MzYxOzEyMDA7MTE3ODsxNjc2,https://rottentomatoes.com/m/motel_hell,6.1,slasher::gore::monster,/content/images/motel_hell1980.png
738,Mother's Day,Charles S. Kaufman,1980,United States,45,38,https://resizing.flixster.com/nVdvfjz3PayupxfxL3mBTLoviNk=/206x305/v1.bTsxMTIxMTA3MDtqOzE3MzY0OzEyMDA7MjI1MDszMDAw,https://rottentomatoes.com/m/mothers_day,,,/content/images/mothers_day1980.png
739,New Years Evil,Emmett Alston,1980,United States,,,,,,,/content/images/new_years_evil1980.png
740,Night of Death,Rapha&euml;l Delpard,1980,France,,57,https://resizing.flixster.com/NFwAV3hKJaBAaBRUMkg9O8FEcsE=/206x305/v1.bTsxMTA2NjQ4MztqOzE3MzYzOzEyMDA7MTQ0OzIwNA,https://rottentomatoes.com/m/night_of_death,6.2,,/content/images/night_of_death1980.png
741,Night of the Demon,James C. Watson,1980,United States,,,,,,,/content/images/night_of_the_demon1980.png
742,The Night of the Hunted,Jean Rollin,1980,France,,37,https://resizing.flixster.com/d6-usIaoWqk6KDIjIwA-l96Ptqw=/206x305/v1.bTsxMjExNTM5NztqOzE3Mjg1OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/night_of_the_hunted,5.8,alien,/content/images/the_night_of_the_hunted1980.png
743,Nightmares,John D. Lamond,1980,Australia,,14,https://resizing.flixster.com/0GWnNAlspKlWjWd8PGLsfW6pCuA=/206x305/v1.bTsxMDkxNTY1OTtqOzE3MzYxOzEyMDA7MjAwOzI4MQ,https://rottentomatoes.com/m/nightmares_1980,,,/content/images/nightmares1980.png
744,The Other Hell,Bruno Mattei,1980,Italy,,,,,,,/content/images/the_other_hell1980.png
745,Patrick vive ancora,Mario Landi,1980,Italy,,,,,5.6,gore,/content/images/patrick_vive_ancora1980.png
746,Prom Night,Paul Lynch,1980,Canada & United States,42,35,https://resizing.flixster.com/ogzH_zZOH-Rkq6NZk52perEC-HA=/206x305/v1.bTsxMTIyNDg2MDtqOzE3MzY0OzEyMDA7MTQwNzsxODc2,https://rottentomatoes.com/m/1016834-prom_night,,,/content/images/prom_night1980.png
747,Return of the Wolfman,Paul Naschy,1980,Spain,,,,,,,/content/images/return_of_the_wolfman1980.png
748,Schizoid,D. Paulson,1980,United States,,16,https://resizing.flixster.com/UNgDaVvf_Sxksqi01oe2bJeSako=/206x305/v1.bTsxMjM2MTc1NDtqOzE3Mjg4OzEyMDA7MjE2OzQwMA,https://rottentomatoes.com/m/schizoid,,,/content/images/schizoid1980.png
749,Sex and Black Magic,Joe D'Amato,1980,Dominican Republic & Italy,,,,,,,/content/images/sex_and_black_magic1980.png
750,The Shining,Stanley Kubrick,1980,United Kingdom & United States,87,93,https://resizing.flixster.com/v15ijF2gqBICFNRiblmT8PkyQI8=/206x305/v1.bTsxMTE2ODAzMjtqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/shining,8.4,hotel::isolation::based on novel::ghost::haunting::possession,/content/images/the_shining1980.png
751,The Silent Scream,Denny Harris,1980,United States,,31,https://resizing.flixster.com/KfeqofDsVQ5c8MJAPXtVcRcKk5U=/206x305/v1.bTsxMjExMTMzODtqOzE3Mjg1OzEyMDA7MjE1OzQwMA,https://rottentomatoes.com/m/1018997-silent_scream,,,/content/images/the_silent_scream1980.png
752,Terror Train,Roger Spottiswoode,1980,Canada,36,38,https://resizing.flixster.com/VS3ps3TR9Uch7pS2-LOqGAeSbzI=/206x305/v1.bTsxMTYxNDk0NztqOzE3MzY5OzEyMDA7MTIzMDsxNzQw,https://rottentomatoes.com/m/terror_train,5.9,gore::slasher,/content/images/terror_train1980.png
753,To All a Good Night,David Hess,1980,United States,,16,https://resizing.flixster.com/CdLLvK3ZT8tbK3rVtnPS_Bqy9sA=/206x305/v1.bTsxMjM1ODQ5ODtqOzE3Mjg4OzEyMDA7MTIwOzIyMw,https://rottentomatoes.com/m/to_all_a_good_night,,,/content/images/to_all_a_good_night1980.png
754,Toxic Zombies,Chuck McCrann,1980,United States,,12,https://resizing.flixster.com/Tnc1dbZTkQHFf30WNF0Oa96kApI=/206x305/v1.bTsxMTIyOTc3NztqOzE3MzY0OzEyMDA7MTU1MDsyMjI0,https://rottentomatoes.com/m/toxic_zombies,4.2,gore::zombie,/content/images/toxic_zombies1980.png
755,The Unseen,Peter Foleg,1980,United States,,,,,,,/content/images/the_unseen1980.png
756,The Watcher in the Woods,John Hough,1980,United States,,,,,6.4,alien::based on novel,/content/images/the_watcher_in_the_woods1980.png
757,We're Going to Eat You,Tsui Hark,1980,Hong Kong,,58,https://resizing.flixster.com/F4jdlWucuNdNrvdowHwkj5_NbZU=/206x305/v1.bTsxMDg1MTI0OTtqOzE3MzYwOzEyMDA7MTEwOzE1MA,https://rottentomatoes.com/m/we_are_going_to_eat_you,6.6,gore,/content/images/were_going_to_eat_you1980.png
758,Zombie Holocaust,Marino Girolami,1980,Italy,,,,,5.3,gore::zombie,/content/images/zombie_holocaust1980.png
759,Absurd,Joe D'Amato,1981,Italy,,38,https://resizing.flixster.com/IsesT3aPdSF1sScSW31maMvrKvA=/206x305/v1.bTsxMTA2NDU0ODtqOzE3MzYzOzEyMDA7MTQ0OzIwNA,https://rottentomatoes.com/m/horrible,,,/content/images/absurd1981.png
760,The Alchemist,Charles Band,1981,United States,,,,,,,/content/images/the_alchemist1981.png
761,An American Werewolf in London,John Landis,1981,United States & United Kingdom,89,85,https://resizing.flixster.com/sqQ68SmXnxez6-dV1dJIFhg3Ih4=/206x305/v1.bTsxMTIwODg2NDtqOzE3MzY0OzEyMDA7MTUwMzsyMDA0,https://rottentomatoes.com/m/an_american_werewolf_in_london,7.6,werewolf::gore::monster,/content/images/an_american_werewolf_in_london1981.png
762,The Beyond,Lucio Fulci,1981,Italy,61,76,https://resizing.flixster.com/hKH2cgbI1zOp0l_6pi9QrWNWJi4=/206x305/v1.bTsxMTIxMTE0ODtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/beyond,6.9,hotel::infection::graveyard::ghost::gore::zombie,/content/images/the_beyond1981.png
763,The Black Cat,Lucio Fulci,1981,Italy & United Kingdom,40,24,https://resizing.flixster.com/fU5SYkXL1rmg6sqizOtS4f6O4Cc=/206x305/v1.bTsxMTM4MjI5NTtqOzE3MzY2OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/the_black_cat_1981,5.9,ghost::doll::possession::based on novel,/content/images/the_black_cat1981.png
764,Blood Beach,Jeffrey Bloom,1981,United States,0,23,https://resizing.flixster.com/mPlbPzUG5CvIDrmTlZb0pXvVCKE=/206x305/v1.bTsxMjE5MDIzODtqOzE3Mjg2OzEyMDA7MjE4OzQwMA,https://rottentomatoes.com/m/blood_beach,,,/content/images/blood_beach1981.png
765,Bloody Moon,Jes&uacute;s Franco,1981,Germany,,27,https://resizing.flixster.com/DXaur8FRF-qlNi9sH46F0tjlDZ8=/206x305/v1.bTsxMjI1MjEyNjtqOzE3Mjg2OzEyMDA7MTUxMjsxOTQ2,https://rottentomatoes.com/m/bloody_moon,5.3,snake::gore::slasher,/content/images/bloody_moon1981.png
766,The Burial Ground,Andrea Bianchi,1981,Italy,,51,https://resizing.flixster.com/Himy6mV4iV8vFFORCwcMs92JsgM=/206x305/v1.bTsxMTIxMTIwMjtqOzE3MzY0OzEyMDA7MTI4MDs3MDM,https://rottentomatoes.com/m/le-notti-del-terrore,5.6,monster::gore::zombie,/content/images/the_burial_ground1981.png
767,The Burning,Tony Maylam,1981,United States,86,61,https://resizing.flixster.com/967AMDjidNlUnSgVMMmPIyMbK3c=/206x305/v1.bTsxMTI5NTM0OTtqOzE3MzY1OzEyMDA7MTU2MzsyMjM2,https://rottentomatoes.com/m/1184756-burning,,,/content/images/the_burning1981.png
768,Cannibal Ferox,Umberto Lenzi,1981,Italy & Spain,,45,https://resizing.flixster.com/YF2lDnBiN_tQukQ1dwFdhd4A9t4=/206x305/v1.bTsxMTIxMTMzMTtqOzE3MzY0OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/cannibal_ferox,5.2,snake::gore,/content/images/cannibal_ferox1981.png
769,Cataclysm,Tom McGowan,1981,United States,,11,https://resizing.flixster.com/qu0ltprM6vDP3l_kSDj_kkjlY90=/206x305/v1.bTsxMjE5MTg0MjtqOzE3Mjg2OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/cataclysm,,,/content/images/cataclysm1981.png
770,Dark Night of the Scarecrow,Frank de Felitta,1981,United States,50,65,https://resizing.flixster.com/8Gm6F6CfE4QImV1LKt-QDFfnnGY=/206x305/v1.bTsxMTIyMDExODtqOzE3MzY0OzEyMDA7MTE4ODsxNzcz,https://rottentomatoes.com/m/dark_night_of_the_scarecrow,6.9,ghost,/content/images/dark_night_of_the_scarecrow1981.png
771,Dawn of the Mummy,Frank Agrama,1981,United States,,23,https://resizing.flixster.com/e4EL0Uj_lmdyYkowNuYrGJctJLw=/206x305/v1.bTsxMTMwMTk4MztqOzE3MzY1OzEyMDA7MTQ4MjsxOTc2,https://rottentomatoes.com/m/dawn_of_the_mummy,,,/content/images/dawn_of_the_mummy1981.png
772,Dead &amp; Buried,Gary Sherman,1981,United States,,,,,,,/content/images/dead_amp_buried1981.png
773,Deadly Blessing,Wes Craven,1981,United States,,,,,5.5,ghost::slasher::snake::satanism,/content/images/deadly_blessing1981.png
774,Demonoid,Alfredo Zacar&iacute;as,1981,Mexico,,27,https://resizing.flixster.com/Ax2SiJ5p0dpTIYdkTdECC4auu28=/206x305/v1.bTsxMjM2MDY5NztqOzE3Mjg4OzEyMDA7MjE1OzQwMA,https://rottentomatoes.com/m/demonoid,4.4,demon::satanism::possession,/content/images/demonoid1981.png
775,Docteur Jekyll et les femmes,Walerian Borowczyk,1981,France,,59,https://resizing.flixster.com/SDPqT7rseoTH5_fa1sVARdH6EpM=/206x305/v1.bTsxMjE5MTg0NjtqOzE3Mjg2OzEyMDA7MTQwOzIwMA,https://rottentomatoes.com/m/docteur_jekyll_et_les_femmes,6.4,home invasion::gore::monster::based on novel,/content/images/docteur_jekyll_et_les_femmes1981.png
776,Don't Go Near the Park,Lawrence D. Foldes,1981,United States,,18,https://resizing.flixster.com/5Gcb1WPN4OrKQ7SHBJNVVTJJU1I=/206x305/v1.bTsxMTIxNjE0MDtqOzE3MzY0OzEyMDA7MTYxMTsyMTQ4,https://rottentomatoes.com/m/dont_go_near_the_park,,,/content/images/dont_go_near_the_park1981.png
777,Don't Go in the Woods,James Bryan,1981,United States,,,,,,,/content/images/dont_go_in_the_woods1981.png
778,The Entity,Sidney J. Furie,1981,United States,,,,,,,/content/images/the_entity1981.png
779,The Evil Dead,Sam Raimi,1981,United States,95,84,https://resizing.flixster.com/9o9T_Ei7Jbsk0D1DStFunHtV7OU=/206x305/v1.bTsxMTE2NzUxMDtqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/the_evil_dead,7.6,demon::slasher::haunting::isolation::ghost::snake::gore::possession,/content/images/the_evil_dead1981.png
780,Evilspeak,Eric Weston,1981,United States,,,,,5.6,gore::devil::satanism,/content/images/evilspeak1981.png
781,Eyes of a Stranger,Ken Wiederhorn,1981,United States,,37,https://resizing.flixster.com/2odluuqqjGx5WwCuz-9L3pW0Obc=/206x305/v1.bTsxMTIxNTEyODtqOzE3MzY0OzEyMDA7MTUwNjsyMDA4,https://rottentomatoes.com/m/eyes_of_a_stranger,5.9,slasher,/content/images/eyes_of_a_stranger1981.png
782,Fear No Evil,Frank LaLoggia,1981,United States,63,26,https://resizing.flixster.com/ggsQU_189LbdaMdzLhb9dNyy0eA=/206x305/v1.bTsxMjIwMTkwMztqOzE3Mjg2OzEyMDA7MzM2OzQ3NQ,https://rottentomatoes.com/m/fear_no_evil_1981,4.0,satanism::devil,/content/images/fear_no_evil1981.png
783,Final Exam,Jimmy Huston,1981,United States,14,19,https://resizing.flixster.com/vHeurKKJ5VkdkIZrFIfsipy9WXg=/206x305/v1.bTsxMTU0NDg1MDtqOzE3MzY4OzEyMDA7NjY2OzEwNDM,https://rottentomatoes.com/m/final_exam_1981,4.7,slasher,/content/images/final_exam1981.png
784,Friday the 13th Part 2,Steve Miner,1981,United States,34,48,https://resizing.flixster.com/7u2ISUV6YqF86_I_3Q35tmw5wzc=/206x305/v1.bTsxMTE3MjYwOTtqOzE3MzY0OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/friday_the_13th_part_2,6.1,gore::slasher,/content/images/friday_the_13th_part_21981.png
785,Full Moon High,Larry Cohen,1981,United States,,,,,4.7,werewolf,/content/images/full_moon_high1981.png
786,Funeral Home,William Fruet,1981,Canada,,,,,,,/content/images/funeral_home1981.png
787,The Funhouse,Tobe Hooper,1981,United States,64,38,https://resizing.flixster.com/ZeAYqaGlUDddkq2mKZa1w_EMCRI=/206x305/v1.bTsxMTQ1MzkyMDtqOzE3MzY3OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/the_funhouse,,,/content/images/the_funhouse1981.png
788,Galaxy of Terror,Bruce D. Clark,1981,United States,33,29,https://resizing.flixster.com/pzZGTh46G0Zw5HgT5EODaguUHEQ=/206x305/v1.bTsxMTIxOTY3OTtqOzE3MzY0OzEyMDA7MTQ3NjsxOTY4,https://rottentomatoes.com/m/1008055-galaxy_of_terror,5.1,alien::gore::monster,/content/images/galaxy_of_terror1981.png
789,Ghost Story,John Irvin,1981,United States,35,42,https://resizing.flixster.com/_slOsnnOSIkbRVkABzroh_8LAyk=/206x305/v1.bTsxMTI5MjA1ODtqOzE3MzY1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/ghost_story,,,/content/images/ghost_story1981.png
790,Ghostkeeper,Jim Makichuk,1981,Canada,,,,,5.4,hotel::possession::ghost::demon::haunted house,/content/images/ghostkeeper1981.png
791,Graduation Day,Herb Freed,1981,United States,50,19,https://resizing.flixster.com/9KdS06itFDkKm3qcJX9lwAJxDvk=/206x305/v1.bTsxMTYxOTg0MTtqOzE3MzY5OzEyMDA7NTAwOzczOA,https://rottentomatoes.com/m/graduation_day,4.5,gore::slasher,/content/images/graduation_day1981.png
792,Halloween II,Rick Rosenthal,1981,United States,31,63,https://resizing.flixster.com/6kuVhOVh0v2wrmyzJCmztlVSGQU=/206x305/v1.bTsxMTIwOTY5MTtqOzE3MzY0OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/halloween_ii,,,/content/images/halloween_ii1981.png
793,The Hand,Oliver Stone,1981,United States,14,28,https://resizing.flixster.com/CRT--qKKq89bAPRfL1BlEMbWHw4=/206x305/v1.bTsxMTYyMDQ5ODtqOzE3MzY5OzEyMDA7NjA2OzgwOA,https://rottentomatoes.com/m/1009131-hand,,,/content/images/the_hand1981.png
794,Happy Birthday to Me,J. Lee Thompson,1981,Canada,27,42,https://resizing.flixster.com/a82_ZecXQm5Y6kPp00QYa3xnWIk=/206x305/v1.bTsxMTYxNTIyMDtqOzE3MzY5OzEyMDA7NDEwOzYwMA,https://rottentomatoes.com/m/happy_birthday_to_me,6.0,graveyard::gore::slasher,/content/images/happy_birthday_to_me1981.png
795,Hell Night,Tom DeSimone,1981,United States,57,47,https://resizing.flixster.com/xvwpZs3sW7SSrdNjcL03QamjRC4=/206x305/v1.bTsxMTI5MTIwNDtqOzE3MzY1OzEyMDA7MTAwMDsxNDY4,https://rottentomatoes.com/m/hell_night,5.8,ghost::slasher::monster,/content/images/hell_night1981.png
796,Home Sweet Home,Nettie Pena,1981,United States,,,,,,,/content/images/home_sweet_home1981.png
797,The House by the Cemetery,Lucio Fulci,1981,Italy,38,49,https://resizing.flixster.com/_LlBONmnUyVvIYA4zLIsUbvLq9U=/206x305/v1.bTsxMTIxMTE1OTtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/the_house_by_the_cemetery,6.2,slasher::ghost::doll::home invasion::monster::gore::zombie,/content/images/the_house_by_the_cemetery1981.png
798,The Howling,Joe Dante,1981,United States,66,58,https://resizing.flixster.com/KJgOMIfsXlJ8j0_52j4bfnpYhJo=/206x305/v1.bTsxMTIwODg5MTtqOzE3MzY0OzEyMDA7MTU2MDsyMDgw,https://rottentomatoes.com/m/howling,6.6,monster::werewolf::gore::based on novel,/content/images/the_howling1981.png
799,The Incubus,John Hough,1981,Canada,,,,,,,/content/images/the_incubus1981.png
800,Inseminoid,Norman J. Warren,1981,United Kingdom,,15,https://resizing.flixster.com/kM2pnzSpsz6640DpyiQPaEConxk=/206x305/v1.bTsxMjE4OTkzODtqOzE3Mjg2OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/inseminoid,3.6,alien::gore::monster,/content/images/inseminoid1981.png
801,Jaws of Satan,Bob Claver,1981,United States,,5,https://resizing.flixster.com/2cFvbIsudAcUIkPiAdFVjrNMkkk=/206x305/v1.bTsxMTgwNjc5NDtqOzE3MjgxOzEyMDA7MjQwMDszMjAw,https://rottentomatoes.com/m/jaws_of_satan,3.7,snake::demon::possession,/content/images/jaws_of_satan1981.png
802,Just Before Dawn,Jeff Lieberman,1981,United States,,53,https://resizing.flixster.com/QwSs3OyOAicC2E53ob-CnUFYD60=/206x305/v1.bTsxMTYxNDkwNDtqOzE3MzY5OzEyMDA7NTAwOzc1Mw,https://rottentomatoes.com/m/just_before_dawn,6.4,graveyard::gore::slasher,/content/images/just_before_dawn1981.png
803,The Loch Ness Horror,Larry Buchanan,1981,United States,,,,,,,/content/images/the_loch_ness_horror1981.png
804,Midnight,John A. Russo,1981,United States,,,,,,,/content/images/midnight1981.png
805,My Bloody Valentine,George Mihalka,1981,Canada,50,52,https://resizing.flixster.com/SB4bukdgjUkwyr1iG0TIveQ4LEo=/206x305/v1.bTsxMTI5MTQ2MDtqOzE3MzY1OzEyMDA7MTk5ODsyNjY0,https://rottentomatoes.com/m/my_bloody_valentine,,,/content/images/my_bloody_valentine1981.png
806,The Nesting,Armand Weston,1981,United States,,29,https://resizing.flixster.com/v9n-wEIZPREyf51EmfNkpP3k4hE=/206x305/v1.bTsxMTI0MTEzMztqOzE3MzY1OzEyMDA7MTUwOTsyMTU2,https://rottentomatoes.com/m/nesting,,,/content/images/the_nesting1981.png
807,Night School,Ken Hughes,1981,United States,,28,https://resizing.flixster.com/Fyiv5cULhb2US-3yfPPItarQNQA=/206x305/v1.bTsxMTIzODE3ODtqOzE3MzY1OzEyMDA7MTUxMDsyMTgw,https://rottentomatoes.com/m/night_school,5.1,gore::slasher,/content/images/night_school1981.png
808,Nightmare,Romano Scavolini,1981,United States,,,,,,,/content/images/nightmare1981.png
809,Omen III: The Final Conflict,Graham Baker,1981,United Kingdom & United States,32,34,https://resizing.flixster.com/TI6SxQjfQFpcqenNlVXLLMO0ttw=/206x305/v1.bTsxMTIwOTU3NTtqOzE3MzY0OzEyMDA7MTIzOTsxNjUy,https://rottentomatoes.com/m/final_conflict_omen_iii,5.6,possession::devil::demon,/content/images/omen_iii_the_final_conflict1981.png
810,Piranha II: The Spawning,James Cameron,1981,Italy,7,10,https://resizing.flixster.com/Fkb3CF_EnvSps6L4i-fl9eIpix4=/206x305/v1.bTsxMTIyMDA4NTtqOzE3MzY0OzEyMDA7OTAwOzEyMDA,https://rottentomatoes.com/m/piranha_2_the_spawning,3.5,gore,/content/images/piranha_ii_the_spawning1981.png
811,The Pit,Lew Lehman,1981,Canada & United States,,38,https://resizing.flixster.com/lLDdFCunvNzAW2U3Mrk3F7w5jPY=/206x305/v1.bTsxMjEwOTE5MjtqOzE3Mjg1OzEyMDA7NzMwOzEyNzA,https://rottentomatoes.com/m/the_pit_1981,6.0,monster,/content/images/the_pit1981.png
812,Porno Holocaust,Joe D'Amato,1981,Italy,,,,,,,/content/images/porno_holocaust1981.png
813,Possession,Andrzej Zulawski,1981,France & West Germany,,,,,,,/content/images/possession1981.png
814,The Prowler,Joseph Zito,1981,United States,60,50,https://resizing.flixster.com/tb_AmO-Zcd8Z_6FYP-iGXom5bV0=/206x305/v1.bTsxMTYxNTg2NTtqOzE3MzY5OzEyMDA7Njk2OzEwNjI,https://rottentomatoes.com/m/1016854-prowler,6.2,gore::graveyard::slasher,/content/images/the_prowler1981.png
815,Saturday the 14th,Howard R. Cohen,1981,United States,10,32,https://resizing.flixster.com/DOak1U9KnAbeGffzFGfdLppqq0o=/206x305/v1.bTsxMjE4OTE5MjtqOzE3Mjg2OzEyMDA7MjI2OzQwMA,https://rottentomatoes.com/m/saturday_the_14th,4.5,monster::haunted house::shark,/content/images/saturday_the_14th1981.png
816,Scared to Death,William Malone,1981,United States,,,,,5.5,gore,/content/images/scared_to_death1981.png
817,Strange Behavior,Michael Laughlin,1981,Australia & New Zealand,78,41,https://resizing.flixster.com/-6_dRphMa3e6Adb1lXfiRJvvH80=/206x305/v1.bTsxMTIxNzA3NTtqOzE3MzY0OzEyMDA7MTA0OTsxNjAw,https://rottentomatoes.com/m/strange_behavior,5.6,slasher,/content/images/strange_behavior1981.png
818,Student Bodies,Mickey Rose,1981,United States,25,51,https://resizing.flixster.com/XKUJFOwApmQ0cyBk3mD38Cjpyi0=/206x305/v1.bTsxMTI5MjQ5MTtqOzE3MzY1OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/student_bodies,5.6,slasher,/content/images/student_bodies1981.png
819,Suddenly at Midnight,Ko Young-nam,1981,South Korea,,,,,6.9,doll,/content/images/suddenly_at_midnight1981.png
820,There Was a Little Girl,Ovidio G. Assonitis,1981,United States,,,,,5.5,gore,/content/images/there_was_a_little_girl1981.png
821,Wolfen,Michael Wadleigh,1981,United States,73,46,https://resizing.flixster.com/tvh-diQuD2yW_wFsxvTwtC0D7y4=/206x305/v1.bTsxMTI5MTI0MztqOzE3MzY1OzEyMDA7MTk5ODsyNjY0,https://rottentomatoes.com/m/wolfen,,,/content/images/wolfen1981.png
822,The Aftermath,Steve Barkett,1982,United States,,,,,,,/content/images/the_aftermath1982.png
823,Alone in the Dark,Jack Sholder,1982,United States,78,40,https://resizing.flixster.com/zEcfNR5YR4fy8wi_HoXUeW12el0=/206x305/v1.bTsxMTI5MTEwNjtqOzE3MzY1OzEyMDA7MTUwMDsyMjUw,https://rottentomatoes.com/m/1000702-alone_in_the_dark,,,/content/images/alone_in_the_dark1982.png
824,Amityville II: The Possession,Damiano Damiani,1982,United States,7,35,https://resizing.flixster.com/q_VyWnlXA5KLSpn8hVVNJCidWfw=/206x305/v1.bTsxMTIwOTgxMTtqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/amityville_2_the_possession,5.4,possession::haunted house::demon::exorcism,/content/images/amityville_ii_the_possession1982.png
825,The Appointment,Lindsey C. Vickers,1982,United Kingdom,,33,https://resizing.flixster.com/Gdf09aptDi0Tv-9KIlNXSr8GNAk=/206x305/v1.bTsxMjEzMTYwMjtqOzE3Mjg1OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/the_appointment_1982,,,/content/images/the_appointment1982.png
826,Bakterion,Tonino Ricci,1982,Italy & Spain,,,,,2.8,monster,/content/images/bakterion1982.png
827,Basket Case,Frank Henenlotter,1982,United States,76,54,https://resizing.flixster.com/68TQYJzRP6X5utDdxoaayMRzDO0=/206x305/v1.bTsxMTYxNjI5ODtqOzE3MzY5OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/basket_case,6.1,slasher::gore::monster::hotel,/content/images/basket_case1982.png
828,The Beast Within,Philippe Mora,1982,United States,13,33,https://resizing.flixster.com/5cvLrEg-PyTkBOR4o799s3EV2Dg=/206x305/v1.bTsxMTYxNTQ0MjtqOzE3MzY5OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/beast_within,5.5,monster::based on novel::werewolf,/content/images/the_beast_within1982.png
829,Blood Song,Alan J. Levi,1982,United States,,,,,5.1,slasher,/content/images/blood_song1982.png
830,Blood Tide,Richard Jefferies,1982,United States,,10,https://resizing.flixster.com/LMnRZ9G7WhhSeN4saTQ0fRAbGdo=/206x305/v1.bTs5NDg5NjkxO2o7MTczNDQ7MTIwMDsxNzk7MjUw,https://rottentomatoes.com/m/blood_tide,3.7,monster,/content/images/blood_tide1982.png
831,Boardinghouse,John Wintergate,1982,United States,,,,,3.9,gore::witchcraft::possession::haunted house,/content/images/boardinghouse1982.png
832,The Boogens,James L. Conway,1982,United States,33,31,https://resizing.flixster.com/smrAlgiQfsoOYLzQXoOrIgWPcU0=/206x305/v1.bTsxMTYyMDg1MztqOzE3MzY5OzEyMDA7NzM1OzEwMDA,https://rottentomatoes.com/m/boogens,,,/content/images/the_boogens1982.png
833,The Boogeyman,Jeffrey C. Schiro,1982,United States,,52,https://resizing.flixster.com/si0aqmDieUGciMaNaMmpH2Jdw4w=/206x305/v1.bTsxMDg0Mjk3NjtqOzE3MzYwOzEyMDA7MTQ0OzI2MA,https://rottentomatoes.com/m/the-boogeyman-stephen-kings-the-boogeyman,,,/content/images/the_boogeyman1982.png
834,Cat People,Paul Schrader,1982,United States,65,45,https://resizing.flixster.com/jisOaBSPP1FlB-Tud8wYhANGOTQ=/206x305/v1.bTsxMTIwODk4ODtqOzE3MzY0OzEyMDA7MTE4MjsxNTc2,https://rottentomatoes.com/m/1003758-cat_people,6.1,gore::graveyard,/content/images/cat_people1982.png
835,Creepshow,George A. Romero,1982,United States,69,68,https://resizing.flixster.com/eqzRDcg-jG73xKDKl7p6Fp-U51w=/206x305/v1.bTsxMTI5MTA3MztqOzE3MzY1OzEyMDA7MjI1MDszMDAw,https://rottentomatoes.com/m/creepshow,6.9,gore::graveyard::monster::zombie,/content/images/creepshow1982.png
